month,Trades,Wins,Losses,Net_PnL,Gross_PnL,Avg_Pts,Best_Pts,Worst_Pts,Total_Fees,Funding,Max_DD_$
2024-07,32,28,4,537.15,713.53,222.98,1060.45,-219.41,177.04,-0.66,0.0
2024-08,67,61,6,2005.11,2339.74,349.22,1559.54,-411.77,335.19,-0.55,0.0
2024-09,46,46,0,1212.15,1438.32,312.68,899.86,54.79,226.17,0.0,0.0
2024-10,55,53,2,1023.02,1320.25,240.04,658.88,-329.57,296.5,0.72,0.0
2024-11,45,41,4,1838.19,2165.12,481.14,1417.81,-505.21,325.17,1.76,0.0
2024-12,42,37,5,1802.24,2140.17,509.56,1522.06,-514.01,339.84,-1.91,0.0
2025-01,56,54,2,2320.77,2780.11,496.45,1537.26,-549.86,458.34,1.0,0.0
2025-02,50,47,3,1736.41,2130.43,426.09,1770.11,-350.04,396.92,-2.9,0.0
2025-03,45,45,0,1681.71,1997.59,443.91,1324.14,163.55,317.57,-1.7,0.0
2025-04,44,44,0,1758.07,2069.43,470.33,1837.85,76.66,309.56,1.8,0.0
2025-05,54,49,5,1840.88,2300.16,425.96,1227.14,-506.07,461.37,-2.09,0.0
2025-06,45,39,6,884.8,1275.83,283.52,1224.86,-549.78,393.1,-2.07,0.0
2025-07,41,37,4,850.07,1236.01,301.47,895.07,-124.9,385.99,-0.05,0.0
2025-08,59,56,3,2028.15,2578.88,437.1,1412.45,-175.24,556.36,-5.63,0.0
2025-09,53,47,6,993.09,1486.36,280.45,1982.57,-502.0,493.25,0.02,0.0
2025-10,50,46,4,2073.79,2543.4,508.68,2403.43,-193.54,470.71,-1.1,0.0
2025-11,45,42,3,1880.32,2235.65,496.81,1215.06,-436.16,356.37,-1.04,0.0
2025-12,34,30,4,1078.77,1326.12,390.03,2251.2,-510.9,249.09,-1.74,0.0
2026-01,45,42,3,1272.72,1607.62,357.25,1347.22,-16.04,334.75,0.14,0.0
2026-02,44,42,2,2478.9,2730.25,620.51,2562.54,-26.89,251.37,-0.02,0.0
2026-03,66,59,7,1940.95,2323.21,352.0,1731.02,-202.5,381.57,0.68,0.0
2026-04,39,34,5,604.76,840.32,215.47,747.75,-84.44,234.86,0.7,0.0
2026-05,47,31,16,359.37,664.29,141.34,595.34,-121.32,304.09,0.84,0.0
2026-06,52,38,14,883.99,1159.97,223.07,973.98,-504.27,277.9,-1.92,0.0
2026-07,54,31,23,87.31,373.76,69.21,550.44,-261.89,285.16,1.29,0.0
2026-08,21,11,10,54.34,164.24,78.21,370.16,-137.25,110.53,-0.64,0.0
