trade_id,direction,is_trend,entry_time,exit_time,entry_price,exit_price,size_btc,lots,gross_pnl,net_pnl,points_captured,exit_reason,trail_stage_at_exit,bars_held,entry_fee,entry_gst,exit_fee,exit_gst,funding_paid
1,SHORT,True,2024-08-07 17:00:00+00:00,2024-08-07 19:19:30+00:00,56119.61747700001,55152.4,0.1,100,96.72174770000056,92.10909362885756,967.2174770000056,Trail_SL_Stage3,3,0,2.8059808738500007,0.5050765572930002,1.1030480000000003,0.19854864000000003,0.0
2,LONG,True,2024-08-08 12:30:00+00:00,2024-08-08 13:24:00+00:00,57160.845513,57720.59459345434,0.1,100,55.974908045434134,51.24021212776161,559.7490804543413,Trail_SL_Stage2,2,0,2.8580422756500004,0.5144476096170001,1.1544118918690869,0.20779414053643563,0.0
3,LONG,True,2024-08-08 14:00:00+00:00,2024-08-08 15:24:00+00:00,57272.706698,58711.237954881726,0.1,100,143.85312568817244,139.08845077725522,1438.5312568817244,Trail_SL_Stage3,3,0,2.8636353349,0.515454360282,1.1742247590976347,0.21136045663757425,0.0
4,LONG,True,2024-08-08 15:30:00+00:00,2024-08-08 16:33:00+00:00,58858.48526,59628.11041380636,0.1,100,76.96251538063589,71.49405649193007,769.6251538063589,Trail_SL_Stage2,2,0,2.9429242630000005,0.5297263673400001,1.1925622082761274,0.21466119748970292,0.5885848526
5,LONG,True,2024-08-08 21:30:00+00:00,2024-08-08 22:19:30+00:00,59654.774881,60620.97,0.1,100,96.61951190000036,91.66922529002136,966.1951190000036,Trail_SL_Stage3,3,0,2.98273874405,0.536892973929,1.2124194000000001,0.21823549200000003,0.0
6,LONG,True,2024-08-08 22:30:00+00:00,2024-08-08 23:19:30+00:00,61006.350025,61876.54,0.1,100,87.01899750000013,81.95933650452513,870.1899750000011,Trail_SL_Stage3,3,0,3.0503175012500003,0.549057150225,1.2375308,0.222755544,0.0
7,SHORT,True,2024-08-11 19:30:00+00:00,2024-08-11 20:34:30+00:00,59654.33397000001,58744.069140566375,0.1,100,91.02648294336323,86.12051720741587,910.2648294336323,Trail_SL_Stage3,3,0,2.9827166985000004,0.5368890057300001,1.1748813828113276,0.21147864890603896,0.0
8,SHORT,True,2024-08-12 08:30:00+00:00,2024-08-12 09:09:00+00:00,58728.476565,58636.61,0.1,100,9.186656499999662,4.337852386664663,91.86656499999663,Trail_SL_Stage1,1,0,2.93642382825,0.528556289085,1.1727322,0.211091796,0.0
9,SHORT,True,2024-08-12 13:30:00+00:00,2024-08-12 14:18:00+00:00,59528.236581000005,59415.87087644649,0.1,100,11.236570455351467,6.322189944388329,112.36570455351466,Trail_SL_Stage3,3,0,2.9764118290500003,0.535754129229,1.18831741752893,0.2138971351552074,0.0
10,LONG,True,2024-08-14 12:00:00+00:00,2024-08-14 12:49:30+00:00,61303.259713,60846.28,0.1,100,-45.69797130000006,-50.750835831067064,-456.97971300000063,Trail_SL_Stage1,1,0,3.0651629856500002,0.551729337417,1.2169256000000002,0.21904660800000003,0.0
11,SHORT,True,2024-08-15 01:30:00+00:00,2024-08-15 02:21:00+00:00,58827.306681,58525.06,0.1,100,30.224668100000418,25.372665589821416,302.2466810000042,Trail_SL_Stage2,2,0,2.9413653340500003,0.529445760129,1.1705012000000001,0.210690216,0.0
12,SHORT,True,2024-08-15 06:00:00+00:00,2024-08-15 07:04:30+00:00,58308.928524,58119.48637705957,0.1,100,18.944214694043332,14.132368032628726,189.4421469404333,Trail_SL_Stage1,1,0,2.9154464262000004,0.5247803567160001,1.1623897275411916,0.20923015095741448,0.0
13,SHORT,True,2024-08-15 17:30:00+00:00,2024-08-15 20:58:30+00:00,59316.637743,56671.31,0.1,100,264.5327743000002,259.6956497571632,2645.3277430000016,Trail_SL_Stage5,5,0,2.9658318871500002,0.533849739687,1.1334262000000002,0.20401671600000001,0.0
14,LONG,True,2024-08-16 19:00:00+00:00,2024-08-16 20:22:30+00:00,59473.206726000004,59391.85284005234,0.1,100,-8.135388594766118,-13.045955518625355,-81.35388594766118,SL,0,0,2.9736603363000005,0.5352588605340001,1.187837056801047,0.21381067022418845,0.0
15,LONG,True,2024-08-17 16:30:00+00:00,2024-08-17 17:22:30+00:00,59537.003105,59482.00246233938,0.1,100,-5.500064266062691,-10.4165227073689,-55.00064266062691,SL,0,0,2.97685015525,0.535833027945,1.1896400492467876,0.21413520886442175,0.0
16,LONG,True,2024-08-18 00:00:00+00:00,2024-08-18 01:01:30+00:00,59498.189223999994,59684.63986644338,0.1,100,18.645064244338574,13.72611357927451,186.45064244338573,Trail_SL_Stage2,2,0,2.9749094611999998,0.5354837030159999,1.1936927973288678,0.2148647035191962,0.0
17,LONG,True,2024-08-18 02:30:00+00:00,2024-08-18 03:19:30+00:00,59495.698975,59539.75,0.1,100,4.4051025000000665,-0.510281839524934,44.051025000000664,Trail_SL_Stage3,3,0,2.9747849487500004,0.535461290775,1.190795,0.2143431,0.0
18,SHORT,True,2024-08-18 23:30:00+00:00,2024-08-19 00:19:30+00:00,59009.848425000004,58710.25,0.1,100,29.959842500000377,25.682798027175377,299.5984250000038,Trail_SL_Stage3,3,0,2.9504924212500003,0.531088635825,1.1742050000000002,0.21135690000000001,-0.5900984842500001
19,SHORT,True,2024-08-19 09:30:00+00:00,2024-08-19 10:22:30+00:00,58617.887625,58199.53,0.1,100,41.83576250000042,37.00379822212542,418.3576250000042,Trail_SL_Stage3,3,0,2.9308943812500003,0.527560988625,1.1639906000000002,0.20951830800000004,0.0
20,SHORT,True,2024-08-19 13:30:00+00:00,2024-08-19 14:21:00+00:00,58760.693343,58535.29,0.1,100,22.540334299999813,17.692020548762812,225.40334299999813,Trail_SL_Stage2,2,0,2.93803466715,0.528846240087,1.1707058000000001,0.210727044,0.0
21,LONG,True,2024-08-19 23:00:00+00:00,2024-08-20 00:04:30+00:00,59247.164123999995,59365.76516223134,0.1,100,11.860103823134706,6.371017440750045,118.60103823134705,Trail_SL_Stage1,1,0,2.9623582062000002,0.5332244771160001,1.187315303244627,0.21371675458403286,0.5924716412400001
22,LONG,True,2024-08-20 00:30:00+00:00,2024-08-20 01:28:30+00:00,60300.249422,60559.75,0.1,100,25.950057799999925,20.963132984101925,259.5005779999992,Trail_SL_Stage2,2,0,3.0150124711000004,0.542702244798,1.211195,0.2180151,0.0
23,LONG,True,2024-08-20 04:00:00+00:00,2024-08-20 05:52:30+00:00,60625.501944,61019.28878539708,0.1,100,39.378684139707914,34.361724309676546,393.7868413970791,Trail_SL_Stage2,2,0,3.0312750972000004,0.5456295174960001,1.2203857757079417,0.2196694396274295,0.0
24,LONG,True,2024-08-20 12:00:00+00:00,2024-08-20 12:52:30+00:00,60525.131908,60638.25161153919,0.1,100,11.311970353918879,6.309924833314553,113.11970353918878,Trail_SL_Stage1,1,0,3.0262565954,0.5447261871719999,1.2127650322307841,0.21829770580154115,0.0
25,LONG,True,2024-08-20 13:30:00+00:00,2024-08-20 14:18:00+00:00,60552.244619000005,59954.57655425906,0.1,100,-59.76680647409449,-64.75431691329601,-597.6680647409448,Trail_SL_Stage1,1,0,3.027612230950001,0.5449702015710002,1.1990915310851813,0.21583647559533262,0.0
26,LONG,True,2024-08-23 08:00:00+00:00,2024-08-23 09:49:30+00:00,61075.616951,61002.75,0.1,100,-7.286695100000362,-12.329821400109363,-72.86695100000361,Trail_SL_Stage1,1,0,3.0537808475500006,0.5496805525590001,1.2200550000000001,0.21960990000000002,0.0
27,LONG,True,2024-08-23 12:30:00+00:00,2024-08-23 13:19:30+00:00,60862.745666,60982.6,0.1,100,11.985433399999602,6.955342045705601,119.85433399999602,Trail_SL_Stage1,1,0,3.0431372833000006,0.547764710994,1.2196520000000002,0.21953736000000001,0.0
28,LONG,True,2024-08-23 14:00:00+00:00,2024-08-23 14:48:00+00:00,61126.352024,61014.17299836965,0.1,100,-11.217902563035024,-16.264291815212548,-112.17902563035022,Trail_SL_Stage2,2,0,3.0563176012000004,0.550137168216,1.220283459967393,0.21965102279413073,0.0
29,LONG,True,2024-08-23 15:30:00+00:00,2024-08-23 17:09:00+00:00,61419.431329,61615.77,0.1,100,19.633867099999772,13.941794166298772,196.3386709999977,Trail_SL_Stage1,1,0,3.07097156645,0.552774881961,1.2323154,0.221816772,0.6141943132900001
